O,D,flow,dist
0,0,0,0.0
0,1,0,9.05295459424817
0,2,0,4.136140210380713
0,3,0,10.50310107960947
0,4,0,16.013893122659464
0,5,0,20.09628508024729
0,6,0,17.61246974424736
0,7,0,14.877521098412727
0,8,0,18.580501472152566
0,9,0,11.58490895069899
0,10,0,1.8240804377411872
0,11,0,4.561152222960575
0,12,0,34.08744839946283
0,13,0,16.22465609219424
0,14,0,2.907325560392455
0,15,0,23.12781826807505
0,16,0,4.269029579574837
0,17,0,12.048393775372771
0,18,0,24.505026919759228
0,19,0,25.793922257777652
0,20,0,19.563662971014097
0,21,0,29.16575565901392
0,22,0,15.324864524312376
0,23,0,27.663207482579445
0,24,0,35.9587006003687
0,25,0,12.494884172792187
0,26,0,28.09904777165084
0,27,0,5.433688961151576
0,28,0,15.099810093682306
0,29,0,27.24546576504821
0,30,0,13.095206250272321
0,31,0,19.52604872988117
0,32,0,21.730143576844636
0,33,0,19.1598905132807
0,34,0,14.257255565477426
0,35,0,7.387337045209183
0,36,0,6.667679608081906
0,37,0,16.57581274778232
0,38,0,4.001159556005203
0,39,0,25.109041339666426
0,40,0,4.556034712659943
0,41,0,10.18484196121389
0,42,0,17.009639582444535
0,43,0,27.14825525927192
0,44,0,15.498606859638535
0,45,0,8.41076297535812
0,46,0,8.407836334045113
0,47,0,9.463885160884239
0,48,0,14.317898268292328
0,49,0,19.429809379309468
0,50,0,13.61355026109083
0,51,0,11.440350896489665
0,52,0,21.898324284669794
0,53,0,11.865511294231954
0,54,0,16.19392628222006
0,55,0,26.152966938572426
0,56,0,20.624160258343277
0,57,0,20.102856995710187
0,58,0,30.11560478306753
0,59,0,1.2141883184360815
0,60,0,8.496229381153931
0,61,0,25.068382345370395
0,62,0,20.295808320015766
0,63,0,7.009870286528703
0,64,0,3.6864055805317055
0,65,0,17.79809661235015
0,66,0,2.69206105326432
0,67,0,3.599782050994437
0,68,0,18.44837587130578
0,69,0,22.750232528377573
0,70,0,6.252006935745048
0,71,0,17.014895124097826
0,72,0,13.069840512943584
0,73,0,19.158345042515567
0,74,0,9.101341232507636
0,75,0,11.295964089769642
0,76,0,14.05962056789633
0,77,0,21.151159111375033
0,78,0,17.64869427961023
0,79,0,1.7567458164447267
0,80,0,31.88917634935337
0,81,0,5.708967050940777
0,82,0,12.6564213727997
0,83,0,6.1176965157835586
0,84,0,7.626442697588835
0,85,0,5.689807682181314
0,86,0,3.3881731423245993
0,87,0,23.36474878149826
0,88,0,11.50969353421131
0,89,0,32.66222782194941
0,90,0,29.274285006465792
0,91,0,6.554489646087424
0,92,0,16.781723812191906
0,93,0,21.863905349766277
0,94,0,10.743873023885774
0,95,0,20.992884430168896
0,96,0,14.139083425534569
0,97,0,9.671513177978188
1,0,0,9.05295459424817
1,1,0,0.0
1,2,0,11.347179051932084
1,3,0,1.722514910808142
1,4,0,12.518224664885137
1,5,0,13.24843221509684
1,6,0,13.102813994892736
1,7,0,5.825345008973285
1,8,0,10.875398706496478
1,9,0,7.924073056680218
1,10,0,9.84983200868308
1,11,0,5.702599509517287
1,12,0,30.122177600169167
1,13,0,7.887304647231552
1,14,0,6.62677880162634
1,15,0,17.74061628390942
1,16,0,13.181484830808952
1,17,0,3.935113112507394
1,18,0,26.126591566960123
1,19,0,18.227367577965072
1,20,0,18.88019242738253
1,21,0,29.68023754864317
1,22,0,9.647112047302148
1,23,0,21.56586921361093
1,24,0,33.21379306812799
1,25,0,17.077821856508397
1,26,0,26.092222988338616
1,27,0,11.56621034257012
1,28,0,15.275527493393561
1,29,0,22.77627177688914
1,30,0,4.055962029438018
1,31,0,16.836018508857677
1,32,0,17.46958451662044
1,33,0,10.447237912621102
1,34,0,5.400644521068698
1,35,0,15.143185818154183
1,36,0,8.200892373404713
1,37,0,7.649463845641715
1,38,0,9.574431064410431
1,39,0,20.793657871230447
1,40,0,10.763495999449349
1,41,0,10.808356113839205
1,42,0,17.382547091074102
1,43,0,23.5827576827932
1,44,0,13.46737606274908
1,45,0,9.703114746659589
1,46,0,6.034952279023207
1,47,0,1.3523953372159985
1,48,0,15.161579604205086
1,49,0,15.898321204329509
1,50,0,12.671374943990124
1,51,0,10.228837089537032
1,52,0,15.101550165628314
1,53,0,14.628727125659559
1,54,0,19.172012449092627
1,55,0,21.239450785880592
1,56,0,14.874734871789764
1,57,0,11.356606906303297
1,58,0,25.5084896866041
1,59,0,8.37498685710972
1,60,0,2.454284194870798
1,61,0,21.55569363545192
1,62,0,15.439025848095767
1,63,0,3.743668908983052
1,64,0,7.72584859219955
1,65,0,16.013153058864614
1,66,0,6.6401757889189215
1,67,0,12.445880992969657
1,68,0,10.027280332555588
1,69,0,19.626679251822054
1,70,0,10.445313858126967
1,71,0,7.970527406010711
1,72,0,10.880979581954126
1,73,0,13.244638917953013
1,74,0,7.546289829835939
1,75,0,12.635567460616745
1,76,0,16.2116237662593
1,77,0,18.241434286036842
1,78,0,14.34948276540967
1,79,0,10.788673235847572
1,80,0,27.824270161558935
1,81,0,3.378714514238554
1,82,0,12.683083652151325
1,83,0,3.2194958807743714
1,84,0,4.414826373449587
1,85,0,6.65131398255268
1,86,0,8.569004249446223
1,87,0,18.985042340095834
1,88,0,4.907563656068944
1,89,0,27.983613418229236
1,90,0,25.318812433214543
1,91,0,12.195586699906753
1,92,0,16.284559411098595
1,93,0,14.189902604756103
1,94,0,5.465346414214079
1,95,0,12.966742367792914
1,96,0,6.2600793433715465
1,97,0,13.049985905062842
2,0,0,4.136140210380713
2,1,0,11.347179051932084
2,2,0,0.0
2,3,0,12.41460893667614
2,4,0,14.54979015714476
2,5,0,19.93684385485831
2,6,0,16.450297205885203
2,7,0,16.920982874827686
2,8,0,19.037641567629354
2,9,0,10.912812463917941
2,10,0,5.590804404386102
2,11,0,8.297805657350102
2,12,0,31.985102713110475
2,13,0,17.278522634244496
2,14,0,4.861141618261841
2,15,0,22.02547013242394
2,16,0,5.652010677932447
2,17,0,13.357466903836238
2,18,0,20.772148889341878
2,19,0,25.842152221228027
2,20,0,16.672957739892862
2,21,0,25.625869901738536
2,22,0,14.95535430795627
2,23,0,26.753931351601274
2,24,0,33.33533325623893
2,25,0,15.991041710395015
2,26,0,25.365010525098302
2,27,0,9.098574682945012
2,28,0,12.203154545001544
2,29,0,25.540561696378386
2,30,0,15.315643819272296
2,31,0,17.414354144906724
2,32,0,20.165082215616973
2,33,0,20.413659643007247
2,34,0,15.907266634860747
2,35,0,9.76100885631001
2,36,0,5.305095437982266
2,37,0,18.211772266883678
2,38,0,1.9967281186684447
2,39,0,23.411426337210877
2,40,0,8.345196105376619
2,41,0,7.846352701604945
2,42,0,13.895386524018463
2,43,0,25.0506136478816
2,44,0,13.453926299669826
2,45,0,6.284212043486654
2,46,0,8.223102743736296
2,47,0,12.14062738094745
2,48,0,11.24223669571742
2,49,0,17.682829791180247
2,50,0,11.339290599872864
2,51,0,9.670057578378373
2,52,0,21.611782743581124
2,53,0,8.333583277317599
2,54,0,12.35028095804608
2,55,0,24.6933389814626
2,56,0,19.83960409441514
2,57,0,21.363558753652836
2,58,0,28.389107366793723
2,59,0,3.6938335438591925
2,60,0,9.93508175283632
2,61,0,23.021491790226733
2,62,0,19.09303295954465
2,63,0,10.392746526137499
2,64,0,3.685211428402973
2,65,0,15.439955901183186
2,66,0,6.34587404183093
2,67,0,2.9166722842283903
2,68,0,19.44511836514161
2,69,0,20.63897089959346
2,70,0,3.338288681931908
2,71,0,18.935418685225724
2,72,0,11.426936902114035
2,73,0,18.554345366974175
2,74,0,8.198720010351844
2,75,0,8.399681052837108
2,76,0,10.549327584275428
2,77,0,19.032669275154955
2,78,0,15.938483567499885
2,79,0,3.502478050238916
2,80,0,29.87632946416291
2,81,0,8.443696717859831
2,82,0,10.107020271250393
2,83,0,8.127690981520411
2,84,0,8.302854390971502
2,85,0,5.523768977211311
2,86,0,7.519006081153441
2,87,0,21.77124076333749
2,88,0,12.18534235907149
2,89,0,30.9070686222221
2,90,0,27.279664628713235
2,91,0,2.6440923576683057
2,92,0,13.999412809780301
2,93,0,22.131642497104103
2,94,0,11.01858149386094
2,95,0,21.55330216295076
2,96,0,15.059956850166735
2,97,0,6.178318150838486
