origin,destination,label,neuroGravity_prediction
0,0,0.0,7704.4775390625
0,1,0.0,4.363839149475098
0,2,0.0,1498.485595703125
0,3,0.0,43.76512145996094
0,4,0.0,207.421630859375
0,5,0.0,8.069862365722656
0,6,0.0,351.37005615234375
0,7,0.0,0.8455519080162048
0,8,0.0,28.47484588623047
0,9,0.0,605.9303588867188
0,10,0.0,5249.25927734375
0,11,0.0,876.5586547851562
0,12,0.0,1.3750203847885132
0,13,0.0,75.2933578491211
0,14,0.0,6.9687910079956055
0,15,0.0,1.3147977590560913
0,16,0.0,2664.204345703125
0,17,0.0,422.2694091796875
0,18,0.0,0.9378554821014404
0,19,0.0,2.8678677082061768
0,20,0.0,351.54339599609375
0,21,0.0,0.0
0,22,0.0,0.8480033278465271
0,23,0.0,33.602561950683594
0,24,0.0,1.042875051498413
0,25,0.0,2.64372181892395
0,26,0.0,1.0696808099746704
0,27,0.0,135.7074737548828
0,28,0.0,609.617431640625
0,29,0.0,325.25677490234375
0,30,0.0,0.7977562546730042
0,31,0.0,435.72662353515625
0,32,0.0,659.16748046875
0,33,0.0,499.50115966796875
0,34,0.0,720.3712158203125
0,35,0.0,185.2882843017578
0,36,0.0,1113.2213134765625
0,37,0.0,372.44775390625
0,38,0.0,2828.554931640625
0,39,0.0,362.2479248046875
0,40,0.0,1445.2508544921875
0,41,0.0,1540.3482666015625
0,42,0.0,697.82568359375
0,43,0.0,1.2819761037826538
0,44,0.0,258.20062255859375
0,45,0.0,1466.79345703125
0,46,0.0,1032.09912109375
0,47,0.0,583.5101318359375
0,48,0.0,766.3402099609375
0,49,0.0,647.6176147460938
0,50,0.0,243.9041290283203
0,51,0.0,716.2915649414062
0,52,0.0,512.6015014648438
0,53,0.0,626.1456298828125
0,54,0.0,111.16079711914062
0,55,0.0,603.3556518554688
0,56,0.0,461.26556396484375
0,57,0.0,533.2867431640625
0,58,0.0,1.3310655355453491
0,59,0.0,3906.81640625
0,60,0.0,845.9385986328125
0,61,0.0,137.0578155517578
0,62,0.0,575.8907470703125
0,63,0.0,1316.4298095703125
0,64,0.0,2495.951171875
0,65,0.0,369.10894775390625
0,66,0.0,1617.093017578125
0,67,0.0,1835.5137939453125
0,68,0.0,943.784423828125
0,69,0.0,239.83795166015625
0,70,0.0,2618.619140625
0,71,0.0,402.527587890625
0,72,0.0,259.58026123046875
0,73,0.0,814.6580810546875
0,74,0.0,1117.021240234375
0,75,0.0,1381.207275390625
0,76,0.0,1726.86962890625
0,77,0.0,370.40350341796875
0,78,0.0,296.2185363769531
0,79,0.0,6977.58544921875
0,80,0.0,1.455176830291748
0,81,0.0,2165.36279296875
0,82,0.0,757.2789916992188
0,83,0.0,2546.666748046875
0,84,0.0,1120.1533203125
0,85,0.0,1662.60546875
0,86,0.0,2609.432373046875
0,87,0.0,588.4117431640625
0,88,0.0,642.0972900390625
0,89,0.0,1.3525927066802979
0,90,0.0,1.625518560409546
0,91,0.0,1251.2630615234375
0,92,0.0,645.8690185546875
0,93,0.0,6.915120601654053
0,94,0.0,1029.961669921875
0,95,0.0,567.384521484375
0,96,0.0,803.4186401367188
0,97,0.0,1087.043701171875
1,0,0.0,5.835756778717041
1,1,0.0,2.5470354557037354
1,2,0.0,2.667546510696411
1,3,0.0,2.2236006259918213
1,4,0.0,0.0
1,5,0.0,0.0
1,6,0.0,2.2141425609588623
1,7,0.0,0.0
1,8,0.0,0.0
1,9,0.0,5.0591959953308105
1,10,0.0,5.469101428985596
1,11,0.0,4.327642440795898
1,12,0.0,0.0
1,13,0.0,0.0
1,14,0.0,0.0
1,15,0.0,0.0
1,16,0.0,4.182645320892334
1,17,0.0,7.462430953979492
1,18,0.0,0.0
1,19,0.0,0.0
1,20,0.0,0.0
1,21,0.0,0.0
1,22,0.0,0.0
1,23,0.0,0.0
1,24,0.0,0.0
1,25,0.0,0.0
1,26,0.0,0.0
1,27,0.0,1.1607810258865356
1,28,0.0,3.361142635345459
1,29,0.0,2.030890703201294
1,30,0.0,0.8855705261230469
1,31,0.0,3.094688892364502
1,32,0.0,3.5782742500305176
1,33,0.0,4.493337154388428
1,34,0.0,12.257463455200195
1,35,0.0,0.0
1,36,0.0,4.746983051300049
1,37,0.0,3.9066858291625977
1,38,0.0,14.829456329345703
1,39,0.0,2.400848150253296
1,40,0.0,3.045103073120117
1,41,0.0,24.696578979492188
1,42,0.0,3.113978147506714
1,43,0.0,0.0
1,44,0.0,2.0367608070373535
1,45,0.0,11.269725799560547
1,46,0.0,21.065025329589844
1,47,0.0,72.59098052978516
1,48,0.0,4.453260898590088
1,49,0.0,3.8324356079101562
1,50,0.0,2.0056567192077637
1,51,0.0,4.54532527923584
1,52,0.0,3.9051764011383057
1,53,0.0,2.9292171001434326
1,54,0.0,0.0
1,55,0.0,3.9974865913391113
1,56,0.0,3.401402711868286
1,57,0.0,4.144000053405762
1,58,0.0,0.0
1,59,0.0,3.4767985343933105
1,60,0.0,39.98432540893555
1,61,0.0,0.0
1,62,0.0,3.976806163787842
1,63,0.0,35.592105865478516
1,64,0.0,9.86086368560791
1,65,0.0,2.567593574523926
1,66,0.0,3.806781530380249
1,67,0.0,2.8599445819854736
1,68,0.0,18.76445198059082
1,69,0.0,0.0
1,70,0.0,28.183130264282227
1,71,0.0,4.037242412567139
1,72,0.0,2.14937162399292
1,73,0.0,5.642762660980225
1,74,0.0,9.340263366699219
1,75,0.0,21.821531295776367
1,76,0.0,11.13956069946289
1,77,0.0,2.4518110752105713
1,78,0.0,2.1199138164520264
1,79,0.0,10.521199226379395
1,80,0.0,0.0
1,81,0.0,51.19273376464844
1,82,0.0,4.54990291595459
1,83,0.0,80.08091735839844
1,84,0.0,24.786649703979492
1,85,0.0,9.569842338562012
1,86,0.0,6.551253318786621
1,87,0.0,4.0768723487854
1,88,0.0,7.82606315612793
1,89,0.0,0.0
1,90,0.0,0.0
1,91,0.0,4.329280853271484
1,92,0.0,3.299685001373291
1,93,0.0,0.0
1,94,0.0,27.115381240844727
1,95,0.0,4.302087783813477
1,96,0.0,9.5440673828125
1,97,0.0,3.5066471099853516
2,0,0.0,1278.065185546875
2,1,0.0,2.0796961784362793
2,2,0.0,3868.4384765625
2,3,0.0,11.035625457763672
2,4,0.0,158.8516082763672
2,5,0.0,3.6403911113739014
2,6,0.0,239.3177947998047
2,7,0.0,0.0
2,8,0.0,9.911704063415527
2,9,0.0,445.3035583496094
2,10,0.0,1179.8662109375
2,11,0.0,390.57867431640625
2,12,0.0,0.0
2,13,0.0,36.85664749145508
2,14,0.0,2.9493563175201416
2,15,0.0,1.0667073726654053
2,16,0.0,1386.6656494140625
2,17,0.0,257.6314392089844
2,18,0.0,0.9153514504432678
2,19,0.0,1.6586638689041138
2,20,0.0,256.93536376953125
2,21,0.0,0.0
2,22,0.0,0.7754303216934204
2,23,0.0,12.638622283935547
2,24,0.0,1.026363730430603
2,25,0.0,1.7352558374404907
2,26,0.0,0.9847153425216675
2,27,0.0,37.233619689941406
2,28,0.0,572.1224365234375
2,29,0.0,227.1027069091797
2,30,0.0,0.0
2,31,0.0,334.7513427734375
2,32,0.0,480.1019287109375
2,33,0.0,306.778564453125
2,34,0.0,534.21630859375
2,35,0.0,97.85064697265625
2,36,0.0,907.9430541992188
2,37,0.0,245.32598876953125
2,38,0.0,3648.94775390625
2,39,0.0,272.7667236328125
2,40,0.0,659.4208984375
2,41,0.0,1281.0213623046875
2,42,0.0,513.80029296875
2,43,0.0,1.206957221031189
2,44,0.0,183.39837646484375
2,45,0.0,1295.562255859375
2,46,0.0,834.34130859375
2,47,0.0,333.4051513671875
2,48,0.0,710.8687744140625
2,49,0.0,487.01568603515625
2,50,0.0,225.17893981933594
2,51,0.0,597.79833984375
2,52,0.0,409.62396240234375
2,53,0.0,623.6444091796875
2,54,0.0,100.5234603881836
2,55,0.0,440.2018127441406
2,56,0.0,384.1155090332031
2,57,0.0,319.083740234375
2,58,0.0,1.2385269403457642
2,59,0.0,876.519287109375
2,60,0.0,554.0541381835938
2,61,0.0,112.43084716796875
2,62,0.0,482.6710205078125
2,63,0.0,582.9266357421875
2,64,0.0,1801.6219482421875
2,65,0.0,293.0176696777344
2,66,0.0,475.50262451171875
2,67,0.0,1573.1357421875
2,68,0.0,628.0181274414062
2,69,0.0,168.99270629882812
2,70,0.0,2655.6416015625
2,71,0.0,237.59896850585938
2,72,0.0,219.62545776367188
2,73,0.0,589.0977172851562
2,74,0.0,870.778564453125
2,75,0.0,1203.39892578125
2,76,0.0,1131.43798828125
2,77,0.0,284.1728515625
2,78,0.0,217.76742553710938
2,79,0.0,2498.238525390625
2,80,0.0,1.2736778259277344
2,81,0.0,1115.01904296875
2,82,0.0,695.9017333984375
2,83,0.0,1432.03564453125
2,84,0.0,782.4730834960938
2,85,0.0,1428.6524658203125
2,86,0.0,858.154052734375
