osm_id,name,type,other_tags
"2708034",,associatedStreet,
"2708035",,associatedStreet,
"2708036",,associatedStreet,
"2708047",,associatedStreet,
"2708050",,associatedStreet,
"2708051",,associatedStreet,
"2708063",,associatedStreet,
"2708064",,associatedStreet,
"2708065",,associatedStreet,
"2708066",,associatedStreet,
"2708080",,associatedStreet,
"2970917",Changi South Street 1,associatedStreet,
"2971144",Owen Road,associatedStreet,
"3303221",,restriction,"""restriction""=>""only_straight_on"""
"3385884",Tech Park Crescent,associatedStreet,
"3385885",Tuas Avenue 1,associatedStreet,
"3385886",Tuas Avenue 10,associatedStreet,
"3385887",Tuas Avenue 11,associatedStreet,
"3385888",Tuas Avenue 12,associatedStreet,
"3385889",Tuas Avenue 13,associatedStreet,
"3385890",Tuas Avenue 14,associatedStreet,
"3385891",Tuas Avenue 16,associatedStreet,
"3385892",Tuas Avenue 18,associatedStreet,
"3385893",Tuas Avenue 18A,associatedStreet,
"3385894",Tuas Avenue 2,associatedStreet,
"3385895",Tuas Avenue 20,associatedStreet,
"3385896",Tuas Avenue 3,associatedStreet,
"3385897",Tuas Avenue 4,associatedStreet,
"3385898",Tuas Avenue 5,associatedStreet,
"3385899",Tuas Avenue 6,associatedStreet,
"3385900",Tuas Avenue 7,associatedStreet,
"3385901",Tuas Avenue 8,associatedStreet,
"3385902",Tuas Avenue 9,associatedStreet,
"3385903",Tuas Basin Close,associatedStreet,
"3385904",Tuas Basin Link,associatedStreet,
"3385905",Tuas Bay Drive,associatedStreet,
"3385906",Tuas Bay Walk,associatedStreet,
"3385907",Tuas Crescent,associatedStreet,
"3385908",Tuas Drive 1,associatedStreet,
"3385909",Tuas Drive 2,associatedStreet,
"3385910",Tuas Lane,associatedStreet,
"3385911",Tuas Link 1,associatedStreet,
"3385912",Tuas Link 2,associatedStreet,
"3385913",Tuas Link 3,associatedStreet,
"3385915",Tuas South Avenue 1,associatedStreet,
"3385916",Tuas South Avenue 2,associatedStreet,
"3385917",Tuas South Street 1,associatedStreet,
"3385919",Tuas South Street 3,associatedStreet,
"3385920",Tuas South Street 5,associatedStreet,
"3385921",Tuas Street,associatedStreet,
