experiment_id,module,param,r01_value,new_value,changed_vs_r01,is_allowed_diff
F05,qsim,storageCapacityFactor,1.0,1.0,False,False
F05,qsim,stuckTime,10.0,10.0,False,False
F05,qsim,timeStepSize,00:00:01,00:00:01,False,False
F05,qsim,trafficDynamics,queue,queue,False,False
F05,qsim,useLanes,false,false,False,False
F05,qsim,usePersonIdForMissingVehicleId,false,false,False,False
F05,qsim,usingFastCapacityUpdate,true,true,False,False
F05,qsim,vehicleBehavior,teleport,teleport,False,False
F05,qsim,vehiclesSource,defaultVehicle,defaultVehicle,False,False
F05,replanning,ExternalExeConfigTemplate,null,null,False,False
F05,replanning,ExternalExeTimeOut,3600,3600,False,False
F05,replanning,ExternalExeTmpFileRootDir,null,null,False,False
F05,replanning,fractionOfIterationsToDisableInnovation,0.8,0.8,False,False
F05,replanning,maxAgentPlanMemorySize,5,5,False,False
F05,replanning,planSelectorForRemoval,WorstPlanSelector,WorstPlanSelector,False,False
F05,replanningAnnealer,activateAnnealingModule,false,false,False,False
F05,routing,accessEgressType,accessEgressModeToLink,accessEgressModeToLink,False,False
F05,routing,clearDefaultTeleportedModeParams,false,false,False,False
F05,routing,networkModes,car,car,False,False
F05,routing,networkRouteConsistencyCheck,abortOnInconsistency,abortOnInconsistency,False,False
F05,routing,routingRandomness,0.0,0.0,False,False
F05,scoring,brainExpBeta,1.0,1.0,False,False
F05,scoring,fractionOfIterationsToStartScoreMSA,null,null,False,False
F05,scoring,learningRate,0.5,0.5,False,False
F05,scoring,pathSizeLogitBeta,1.0,1.0,False,False
F05,scoring,usingOldScoringBelowZeroUtilityDuration,false,false,False,False
F05,scoring,writeExperiencedPlans,true,true,False,False
F05,scoring,writeScoreExplanations,false,false,False,False
F05,subtourModeChoice,behavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False
F05,subtourModeChoice,chainBasedModes,"car,bike","car,bike",False,False
F05,subtourModeChoice,considerCarAvailability,false,false,False,False
F05,subtourModeChoice,coordDistance,0.0,0.0,False,False
F05,subtourModeChoice,modes,"car,pt,bike,walk","car,pt,bike,walk",False,False
F05,subtourModeChoice,probaForRandomSingleTripMode,0.0,0.0,False,False
F05,timeAllocationMutator,latestActivityEndTime,86400.0,86400.0,False,False
F05,timeAllocationMutator,mutateAroundInitialEndTimeOnly,false,false,False,False
F05,timeAllocationMutator,mutationAffectsDuration,true,true,False,False
F05,timeAllocationMutator,mutationRange,1800.0,1800.0,False,False
F05,timeAllocationMutator,mutationRangeStep,1.0,1.0,False,False
F05,transit,inputScheduleCRS,null,null,False,False
F05,transit,insistingOnUsingDeprecatedAttributeFiles,false,false,False,False
F05,transit,routingAlgorithmType,SwissRailRaptor,SwissRailRaptor,False,False
F05,transit,transitLinesAttributesFile,null,null,False,False
F05,transit,transitModes,pt,pt,False,False
F05,transit,transitScheduleFile,null,null,False,False
F05,transit,transitStopsAttributesFile,null,null,False,False
F05,transit,useTransit,false,false,False,False
F05,transit,usingTransitInMobsim,true,true,False,False
F05,transit,vehiclesFile,null,null,False,False
F05,transitRouter,additionalTransferTime,0.0,0.0,False,False
F05,transitRouter,directWalkFactor,1.0,1.0,False,False
F05,transitRouter,extensionRadius,200.0,200.0,False,False
F05,transitRouter,maxBeelineWalkConnectionDistance,100.0,100.0,False,False
F05,transitRouter,searchRadius,1000.0,1000.0,False,False
F05,travelTimeCalculator,analyzedModes,car,car,False,False
F05,travelTimeCalculator,calculateLinkToLinkTravelTimes,false,false,False,False
F05,travelTimeCalculator,calculateLinkTravelTimes,true,true,False,False
F05,travelTimeCalculator,filterModes,false,false,False,False
F05,travelTimeCalculator,maxTime,108000,108000,False,False
F05,travelTimeCalculator,separateModes,true,true,False,False
F05,travelTimeCalculator,travelTimeAggregator,optimistic,optimistic,False,False
F05,travelTimeCalculator,travelTimeBinSize,900.0,900.0,False,False
F05,travelTimeCalculator,travelTimeGetter,average,average,False,False
F05,vehicles,vehiclesFile,null,null,False,False
F05,vspExperimental,isAbleToOverwritePtInteractionParams,false,false,False,False
F05,vspExperimental,isGeneratingBoardingDeniedEvent,false,false,False,False
F05,vspExperimental,isUsingOpportunityCostOfTimeForLocationChoice,true,true,False,False
F05,vspExperimental,logitScaleParamForPlansRemoval,1.0,1.0,False,False
